property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/35423;Pedro Granado Imóveis;Zona 01;R$ 105.374,40;Padrão;Maringá;PR;35423;Apartamento;66,36 m²;-23.4209995;-51.9330558;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-novo-paulista/48803;Pedro Granado Imóveis;Jardim Novo Paulista;R$ 140.000,00;Padrão;Maringá;PR;48803;Terreno;200,00 m²;-23.4087808;-51.8652695;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-guairaca/70253;Pedro Granado Imóveis;Jardim Guairacá;R$ 140.000,00;Padrão;Maringá;PR;70253;Apartamento;37,26 m²;-23.3854125;-51.97216239999999;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-universitario/95012;Pedro Granado Imóveis;Jardim Universitário;R$ 150.000,00;Padrão;Maringá;PR;95012;Apartamento;77,02 m²;-23.4053547;-51.94606469999997;3;2;1
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/parque-taruma/23252;Pedro Granado Imóveis;Parque Tarumã;R$ 159.000,00;Padrão;Maringá;PR;23252;Apartamento;43,47 m²;-23.4663514;-51.92157020000002;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/zona-07/40751;Pedro Granado Imóveis;Zona 07;R$ 170.000,00;Kitnet;Maringá;PR;40751;Apartamento;20,00 m²;-23.4109751;-51.9419312;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/10832;Pedro Granado Imóveis;Zona 07;R$ 170.000,00;Padrão;Maringá;PR;10832;Apartamento;55,30 m²;-23.4103821;-51.9416071;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/lancamentos/parque-taruma/10742;Pedro Granado Imóveis;Parque Tarumã;Consulte-nos;Lançamentos;Maringá;PR;10742;Apartamento;45,57 m²;-23.46268774289841;-51.92666920419922;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-das-estacoes/64142;Pedro Granado Imóveis;Jardim Das Estações;R$ 175.000,00;Padrão;Maringá;PR;64142;Apartamento;47,00 m²;-23.4461743;-51.9796035;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/28862;Pedro Granado Imóveis;Zona 07;R$ 175.000,00;Padrão;Maringá;PR;28862;Apartamento;37,63 m²;-23.4111195;-51.9464633;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/chacara-paulista/55691;Pedro Granado Imóveis;Chácara Paulista;R$ 179.900,00;Kitnet;Maringá;PR;55691;Apartamento;21,97 m²;-23.4424789;-51.9227434;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/zona-07/34661;Pedro Granado Imóveis;Zona 07;R$ 180.000,00;Kitnet;Maringá;PR;34661;Apartamento;21,83 m²;-23.4085225;-51.94069930000001;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/91091;Pedro Granado Imóveis;Zona 07;R$ 180.000,00;Padrão;Maringá;PR;91091;Apartamento;56,77 m²;-23.410234;-51.943196;2;1;-
