broker;district;price;type;city;state;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;is_sold;days_on_market
Pedro Granado Imóveis;Conjunto Habitacional Inocente Vila Nova Júnior;259000.0;Casa;Maringá;PR;Casa;259.02;;;3.0;3.0;1.0;2025-08-01;False;
Pedro Granado Imóveis;Vila Vardelina;275000.0;Padrão;Maringá;PR;Apartamento;51.56;;;2.0;1.0;;2025-08-01;False;
Pedro Granado Imóveis;Jardim Brasilia;399000.0;Sobrado;Maringá;PR;Casa;150.0;;;3.0;2.0;1.0;2025-08-01;False;
Pedro Granado Imóveis;Jardim Novo Horizonte;;Padrão;Maringá;PR;Apartamento;68.73;;;3.0;2.0;1.0;2025-08-01;False;
Pedro Granado Imóveis;Zona 01;1490000.0;Padrão;Maringá;PR;Apartamento;177.99;;;3.0;4.0;3.0;2025-08-01;False;
Pedro Granado Imóveis;Zona 04;;Salão;Maringá;PR;Comercial;678.0;;;;9.0;;2025-08-01;False;
Lelo Imóveis;Zona 06;495000.0;;Maringá;PR;Terreno;506.07;-23.4237384;-51.9621123;;;;2025-08-01;False;
Lelo Imóveis;Jardim Alvorada;348000.0;;Maringá;PR;Apartamento;90.0;-23.3896749;-51.9081059;3.0;;1.0;2025-08-01;False;
Pedro Granado Imóveis;Jardim Tupinambá;380000.0;Casa;Maringá;PR;Casa;423.36;;;3.0;1.0;1.0;2025-08-01;False;
Pedro Granado Imóveis;Jardim Novo Horizonte;2950000.0;Condomínio Fechado;Maringá;PR;Casa;311.55;;;3.0;4.0;1.0;2025-08-01;False;
Lelo Imóveis;Jardim Copacabana;390000.0;;Maringá;PR;Casa;150.0;-23.3783478;-51.9358142;3.0;;2.0;2025-08-01;False;
Lelo Imóveis;Vila Marumby;410000.0;;Maringá;PR;Apartamento;97.79;-23.4443223;-51.9300155;3.0;;1.0;2025-08-01;False;
Lelo Imóveis;Parque Hortencia;298000.0;;Maringá;PR;Casa;150.11;-23.3993757;-51.9737784;2.0;;;2025-08-01;False;
Lelo Imóveis;Parque Res Cidade Nova;220000.0;;Maringá;PR;Apartamento;71.62;-23.3989953;-51.931698;3.0;;1.0;2025-08-01;False;
Lelo Imóveis;Parque Industrial;340000.0;;Maringá;PR;Apartamento;53.0;-23.445311;-51.9719408;2.0;;1.0;2025-08-01;False;
Lelo Imóveis;Alto Das Grevileas;199000.0;;Maringá;PR;Terreno;276.0;-23.4664412;-51.9177658;;;;2025-08-01;False;
Silvio Iwata;Jd Das Estações;250000.0;;Maringá;PR;Apartamento;49.12;-23.4475751;-51.9806281;1.0;1.0;1.0;2025-08-01;False;
Silvio Iwata;;300000.0;;Sarandi;PR;Terreno;393.64;-23.4920864;-51.9104086;;;;2025-08-01;False;
Silvio Iwata;Chácaras Aeroporto;690000.0;;Maringá;PR;Terreno;400.0;-23.472089;-51.906143;;;;2025-08-01;False;
Silvio Iwata;;1000000.0;;Maringá;PR;Terreno;;-23.4720728;-51.91108269999999;;;;2025-08-01;False;
Silvio Iwata;Alto Das Grevileas;1280000.0;;Maringá;PR;Casa;131.73;-23.4732125;-51.9127601;3.0;4.0;2.0;2025-08-01;False;
Silvio Iwata;Zona 06;;;Maringá;PR;Apartamento;70.87;-23.4232112;-51.9600708;3.0;2.0;2.0;2025-08-03;False;
Pedro Granado Imóveis;Zona 07;279000.0;Padrão;Maringá;PR;Apartamento;74.0;;;2.0;2.0;1.0;2025-08-04;False;
Pedro Granado Imóveis;Conjunto Habitacional Inocente Vila Nova Júnior;340000.0;Padrão;Maringá;PR;Terreno;315.81;;;;;;2025-08-04;False;
Lelo Imóveis;Parque Taruma;175000.0;;Maringá;PR;Apartamento;50.59;-23.469288;-51.9171653;2.0;;1.0;2025-08-04;False;
Lelo Imóveis;Jardim Guapore;1140000.0;;Maringá;PR;Casa;300.52;-23.4433343;-51.961929;3.0;;4.0;2025-08-04;False;
Lelo Imóveis;Zona 07;549000.0;;Maringá;PR;Apartamento;167.63;-23.41608;-51.92942;3.0;;1.0;2025-08-04;False;
Lelo Imóveis;Zona 07;295000.0;;Maringá;PR;Apartamento;72.24;-23.4154055;-51.9501832;2.0;;1.0;2025-08-04;False;
Lelo Imóveis;Jardim Oriental;650000.0;;Maringá;PR;Casa;100.0;-23.3705265;-51.9469481;3.0;;2.0;2025-08-04;False;
Lelo Imóveis;Zona 03;751907.0;;Maringá;PR;Apartamento;131.64;-23.4291232;-51.9227498;3.0;;1.0;2025-08-04;False;
Lelo Imóveis;Zona 08;850000.0;;Maringá;PR;Apartamento;146.36;-23.4297742;-51.9159322;;;;2025-08-04;False;
Lelo Imóveis;Zona 04;2350000.0;;Maringá;PR;Casa;278.0;-23.4319894;-51.951368;3.0;;3.0;2025-08-04;False;
Pedro Granado Imóveis;Jardim Paulista;285000.0;Casa;Maringá;PR;Casa;99.17;;;2.0;1.0;;2025-08-05;False;
Pedro Granado Imóveis;Zona 01;300000.0;Sala Edcond;Maringá;PR;Comercial;43.3;;;;1.0;;2025-08-05;False;
Pedro Granado Imóveis;Parque Das Laranjeiras;300000.0;Casa;Maringá;PR;Casa;302.38;;;3.0;1.0;;2025-08-05;False;
Pedro Granado Imóveis;Zona 07;990000.0;Sobrado;Maringá;PR;Casa;519.3;;;6.0;5.0;3.0;2025-08-05;False;
Pedro Granado Imóveis;Zona 01;1100000.0;Padrão;Maringá;PR;Apartamento;111.0;;;3.0;2.0;1.0;2025-08-05;False;
Lelo Imóveis;Parque Das Grevileas 3A Parte;395000.0;;Maringá;PR;Casa;135.96;-23.3902889;-51.9240476;3.0;;1.0;2025-08-05;False;
Silvio Iwata;Jd América;;;Maringá;PR;Apartamento;43.46;-23.4248398;-51.8920816;2.0;1.0;1.0;2025-08-05;False;
Silvio Iwata;;278000.0;;Maringá;PR;Terreno;450.0;-23.3937835;-51.9073289;;;;2025-08-05;False;
Silvio Iwata;;278000.0;;Maringá;PR;Terreno;450.0;-23.3938963;-51.9074015;;;;2025-08-05;False;
Silvio Iwata;;350000.0;;Maringá;PR;Casa;184.87;-23.3861356;-51.9042294;4.0;3.0;2.0;2025-08-05;False;
Silvio Iwata;;720000.0;;Maringá;PR;Terreno;600.0;-23.4073369;-51.9291168;;;;2025-08-05;False;
Silvio Iwata;;750000.0;;Maringá;PR;Casa;134.69;-23.3654624;-51.9418198;3.0;3.0;2.0;2025-08-05;False;
